Kemelbayeva (2020);Kemelbayeva;2020,,
Van Broekhuizen (2011);Van Broekhuizen;2011,,
Belfield, & Rbailey (2019);Belfield, & Rbailey;2019
Fleisher (2005);Fleisher;2005,,
Park (2021);Park;2021,,
Coelli, & Wilkins (2008);Coelli, & Wilkins;2008
Plug, & Wvijverberg (2002);Plug, & Wvijverberg;2002
Orbeta (2002);Orbeta;2002,,
Boarini, & Strauss (2007);Boarini, & Strauss;2007
Chen et al. (2014);Chen et al.;2014,,
Banerjee (2004);Banerjee;2004,,
Carneiro et al. (2005);Carneiro et al.;2005,,
Mcintosh, & Garrett (2009);Mcintosh, & Garrett;2009
Birdsall, & Rbehrman (1998);Birdsall, & Rbehrman;1998
Huffman, & Forazem (2004);Huffman, & Forazem;2004
Riley (2010);Riley;2010,,
Best (2013);Best;2013,,
Heckman (2006);Heckman;2006,,
Rafique, & Khawaja (2020);Rafique, & Khawaja;2020
Bleakley, & Chin (2008);Bleakley, & Chin;2008
Pastore, & Verashchagina (2005);Pastore, & Verashchagina;2005
Teixeira (2023);Teixeira;2023,,
Mcmahon (2004);Mcmahon;2004,,
South, & Bias (2009);South, & Bias;2009
Hermannsson et al. (2010);Hermannsson et al.;2010,,
Fuglsang (None);Fuglsang;,,
Behrman et al. (2007);Behrman et al.;2007,,
Figueiredo (2020);Figueiredo;2020,,
Kenayathulla (2012);Kenayathulla;2012,,
Rushnavand (1999);Rushnavand;1999,,
Hermannsson, & Kswales (2010);Hermannsson, & Kswales;2010
Ismail et al. (2019);Ismail et al.;2019,,
Isphording et al. (2014);Isphording et al.;2014,,
Sandberg (2021);Sandberg;2021,,
Aldrich (2010);Aldrich;2010,,
Pritchett (2009);Pritchett;2009,,
Kyrizi (2014);Kyrizi;2014,,
Paweenawat, & Vechbanyongratana (2019);Paweenawat, & Vechbanyongratana;2019
Iglesias Garrido (2014);Iglesias Garrido;2014,,
Wong (2012);Wong;2012,,
Song (2021);Song;2021,,
Bandara et al. (2018);Bandara et al.;2018,,
Meghir, & Palme (2003);Meghir, & Palme;2003
Asplund (2004);Asplund;2004,,
Requena Casado (2017);Requena Casado;2017,,
Davies (2010);Davies;2010,,
Alstete (2020);Alstete;2020,,
Ertl, & Eeva (2020);Ertl, & Eeva;2020
Burbidge et al. (2011);Burbidge et al.;2011,,
Brandenburg (2020);Brandenburg;2020,,
Plug (2000);Plug;2000,,
Seeber (2020);Seeber;2020,,
Orazem, & Huffman (2004);Orazem, & Huffman;2004
Boesel (1999);Boesel;1999,,
Acemoglu, & Angrist (None);Acemoglu, & Angrist;
Groenenberg (2013);Groenenberg;2013,,
Human-Capital, & Laws (2001);Human-Capital, & Laws;2001
Baines et al. (1992);Baines et al.;1992,,
King (1978);King;1978,,
Huebener (2012);Huebener;2012,,
Väänänen (2010);Väänänen;2010,,
Zimmer (2022);Zimmer;2022,,
Humphreys (2016);Humphreys;2016,,
Yunus (2014);Yunus;2014,,
Coelli, & Tabasso (2019);Coelli, & Tabasso;2019
Bhalotra, & Sanhueza (2002);Bhalotra, & Sanhueza;2002
Kara (2000);Kara;2000,,
Pattinasarany (2003);Pattinasarany;2003,,
Rycx et al. (2022);Rycx et al.;2022,,
Bedi (1996);Bedi;1996,,
Brunello, & Paola (2013);Brunello, & Paola;2013
Ryan (2002);Ryan;2002,,
Morales-Ramos (2011);Morales-Ramos;2011,,
Laukkanen (2010);Laukkanen;2010,,
Riddell et al. (2003);Riddell et al.;2003,,
Kebede (2005);Kebede;2005,,
Karatas (2017);Karatas;2017,,
Ren, & Wmiller (2010);Ren, & Wmiller;2010
Urueña (2015);Urueña;2015,,
Krafft (2015);Krafft;2015,,
Calì (2012);Calì;2012,,
Patel (2011);Patel;2011,,
Herbst (2004);Herbst;2004,,
Decreuse (2000);Decreuse;2000,,
Canton et al. (2018);Canton et al.;2018,,
Khaleque (1994);Khaleque;1994,,
Teixeira (None);Teixeira;,,
Zhao (2022);Zhao;2022,,
Choi (1993);Choi;1993,,
Norton (2012);Norton;2012,,
Spinazze (2012);Spinazze;2012,,
Katz (1992);Katz;1992,,
Muller, & Jnordman (2017);Muller, & Jnordman;2017
Polidano, & Ryan (2016);Polidano, & Ryan;2016
Hoover (None);Hoover;,,
Farm (2015);Farm;2015,,
Iriondo, & Pérez-Amaral (2013);Iriondo, & Pérez-Amaral;2013
Maluccio (1997);Maluccio;1997,,
Emran, & Sun (2015);Emran, & Sun;2015
Carrol (2005);Carrol;2005,,
Béatrice Dlhombres (None);Béatrice Dlhombres;,,
Mcadams (2013);Mcadams;2013,,
Emran, & Sun (None);Emran, & Sun;
Xiang (2005);Xiang;2005,,
Karasiatou (2010);Karasiatou;2010,,
Ursone (1993);Ursone;1993,,
Farm (2015);Farm;2015,,
Cali (2009);Cali;2009,,
Sharma (2011);Sharma;2011,,
Diette (2005);Diette;2005,,
Bratti (2004);Bratti;2004,,
Iriondo, & Pérez-Amaral (2016);Iriondo, & Pérez-Amaral;2016
Modena et al. (2020);Modena et al.;2020,,
García (2013);García;2013,,
Colonna (2008);Colonna;2008,,
Luzi (2010);Luzi;2010,,
Thanh, & Hung (2015);Thanh, & Hung;2015
Geuna, & Rossi (2015);Geuna, & Rossi;2015
Muller, & Jnordman (2017);Muller, & Jnordman;2017
Dessy, & Ragued (2013);Dessy, & Ragued;2013
De Sousa (2016);De Sousa;2016,,
Coelli, & Tabasso (2019);Coelli, & Tabasso;2019
Khitarishvili (2003);Khitarishvili;2003,,
Lee (2016);Lee;2016,,
Pozzoli (2006);Pozzoli;2006,,
Raita (2005);Raita;2005,,
Izquierdo, & Pessino (None);Izquierdo, & Pessino;
Eigbiremolen (2019);Eigbiremolen;2019,,
Eden (2017);Eden;2017,,
Park, & Jang (2019);Park, & Jang;2019
Siedler (2007);Siedler;2007,,
Bratti, & Mleombruni (2010);Bratti, & Mleombruni;2010
Drewes, & Meredith (None);Drewes, & Meredith;
García (2013);García;2013,,
Jain (2022);Jain;2022,,
Herault et al. (2011);Herault et al.;2011,,
Goulart (2011);Goulart;2011,,
Adeolu, & Ola-David (2014);Adeolu, & Ola-David;2014
Campolieti et al. (2009);Campolieti et al.;2009,,
Myers et al. (2014);Myers et al.;2014,,
De Brauw (2002);De Brauw;2002,,
Rafaj (2011);Rafaj;2011,,
Usatin (2014);Usatin;2014,,
Ampaabeng (2013);Ampaabeng;2013,,
Smid (2017);Smid;2017,,
Crisp, & Delgado (2014);Crisp, & Delgado;2014
Oliveira (2017);Oliveira;2017,,
Bidner (2008);Bidner;2008,,
Singh (2017);Singh;2017,,
Banerjee (2009);Banerjee;2009,,
Bassi (2004);Bassi;2004,,
Zimmer (2021);Zimmer;2021,,
Kavanagh, & Doyle (2006);Kavanagh, & Doyle;2006
Nwosu (2022);Nwosu;2022,,
Lederman, & Maloney (2012);Lederman, & Maloney;2012
Ridala (None);Ridala;,,
Hérault et al. (None);Hérault et al.;,,
Rom (2018);Rom;2018,,
Braithwaite et al. (2013);Braithwaite et al.;2013,,
Brandstetter et al. (2009);Brandstetter et al.;2009,,
Mason et al. (2015);Mason et al.;2015,,
Zhang (2017);Zhang;2017,,
Lee (2010);Lee;2010,,
Lynch (2013);Lynch;2013,,
Broniatowska (2021);Broniatowska;2021,,
Knibb (2005);Knibb;2005,,
Karmel, & Rice (2011);Karmel, & Rice;2011
Rudin (2012);Rudin;2012,,
Hummelsheim, & Timmermann (2010);Hummelsheim, & Timmermann;2010
Moen (None);Moen;,,
Hummelsheim, & Timmermann (2010);Hummelsheim, & Timmermann;2010
Raaum (1999);Raaum;1999,,
Hummelsheim, & Timmermann (2010);Hummelsheim, & Timmermann;2010
Strawiński (2007);Strawiński;2007,,
Strawiński (2009);Strawiński;2009,,
Strawiński (None);Strawiński;,,
Augusto, & Souta (None);Augusto, & Souta;
